Industry,State,Country,Stage,Account Name,Amount,CloseDate (Epoch days),CloseDate (Epoch seconds),AccountType,CloseDate,Name
Agriculture,Oregon,United States,Closed Won,Mann440 Inc,35791,18166,1569542400,Customer,9/27/2019,Opportunity for Greer1
Energy,New York,United States,Qualification,Phillips552 Inc,28301,18045,1559088000,Partner,5/29/2019,Opportunity for Conner5
Manufacturing,Ohio,United States,Closed Lost,Thomas148 Inc,61214,18238,1575763200,Partner,12/8/2019,Opportunity for Wood9
Communications,Colorado,United States,Closed Lost,Ross364 Inc,50315,18357,1586044800,Partner,4/5/2020,Opportunity for Hogan11
Manufacturing,California,United States,Closed Won,Cortez324 Inc,25455,19125,1652400000,Partner,5/13/2022,Opportunity for Jefferson17
Agriculture,Washington,United States,Negotiation/Review,Owens441 Inc,47078,19188,1657843200,Customer,7/15/2022,Opportunity for McLaughlin130
Apparel,Massachusetts,United States,Perception Analysis,Gibson62 Inc,4220,18832,1627084800,Partner,7/24/2021,Opportunity for Chandler133
Insurance,Ohio,United States,Closed Won,Warren653 Inc,26598,19098,1650067200,Partner,4/16/2022,Opportunity for Rice134
Technology,Pennsylvania,United States,Qualification,Conner513 Inc,93934,17977,1553212800,Customer,3/22/2019,Opportunity for Barnes141
Finance,California,United States,Perception Analysis,Harris13 Inc,819,18643,1610755200,Customer,1/16/2021,Opportunity for Edwards146
Biotechnology,Oregon,United States,Needs Analysis,Dean902 Inc,77141,19335,1670544000,Partner,12/9/2022,Opportunity for Williams149
Electronics,Georgia,United States,Closed Lost,Bishop597 Inc,36878,19124,1652313600,Partner,5/12/2022,Opportunity for Wagner150
Apparel,District of Columbia,United States,Needs Analysis,Gordon630 Inc,62481,18559,1603497600,Partner,10/24/2020,Opportunity for Dennis260
Apparel,North Carolina,United States,Closed Won,Joseph361 Inc,96351,18145,1567728000,Customer,9/6/2019,Opportunity for Pittman263
Media,Washington,United States,Prospecting,Fox572 Inc,54763,19002,1641772800,Customer,1/10/2022,Opportunity for Holmes265
Finance,Washington,,Closed Won,Todd690 Inc,69451,17909,1547337600,Customer,1/13/2019,Opportunity for Murphy267
Communications,Florida,United States,Closed Won,Roberson601 Inc,55927,18877,1630972800,Partner,9/7/2021,Opportunity for Freeman268
Telecommunications,,United States,Closed Won,Wise244 Inc,91955,18420,1591488000,Customer,6/7/2020,Opportunity for Terry269
Apparel,Arizona,United States,Closed Won,Briggs955 Inc,67633,18568,1604275200,Partner,11/2/2020,Opportunity for Butler275
Engineering,Connecticut,United States,Qualification,Daniels141 Inc,76674,19214,1660089600,Partner,8/10/2022,Opportunity for Collier276
Agriculture,California,United States,Closed Won,Oliver444 Inc,30291,18864,1629849600,Partner,8/25/2021,Opportunity for Alexander278
Engineering,Florida,,Qualification,Wright507 Inc,79409,19234,1661817600,Partner,8/30/2022,Opportunity for Allison281
Electronics,,United States,Closed Won,Figueroa68 Inc,94257,18422,1591660800,Partner,6/9/2020,Opportunity for Delgado355
Finance,Oregon,United States,Closed Won,Jackson589 Inc,72442,18725,1617840000,Partner,4/8/2021,Opportunity for Bryant359
Education,California,United States,Needs Analysis,Scott708 Inc,92448,18341,1584662400,Partner,3/20/2020,Opportunity for Wise361
Consulting,Indiana,United States,Closed Won,Hart828 Inc,234,17938,1549843200,Partner,2/11/2019,Opportunity for Hunt362
Energy,Montana,United States,Perception Analysis,Carlson744 Inc,72505,18080,1562112000,Partner,7/3/2019,Opportunity for Scott363
Biotechnology,Florida,United States,Closed Won,Munoz724 Inc,67692,18761,1620950400,Customer,5/14/2021,Opportunity for McCoy365
Apparel,California,United States,Closed Won,Ross364 Inc,76160,18036,1558310400,Partner,5/20/2019,Opportunity for Love368
Manufacturing,Florida,United States,Closed Lost,King177 Inc,35579,18805,1624752000,Partner,6/27/2021,Opportunity for Rios369
Transportation,Washington,,Closed Won,Padilla472 Inc,2722,19300,1667520000,Partner,11/4/2022,Opportunity for Gordon370
Education,Massachusetts,United States,Closed Won,West706 Inc,19049,19149,1654473600,Partner,6/6/2022,Opportunity for Harrington373
Telecommunications,Virginia,United States,Closed Won,McGuire26 Inc,40799,18535,1601424000,Partner,9/30/2020,Opportunity for Pearson374
Engineering,Texas,United States,Closed Won,Perkins198 Inc,15875,18895,1632528000,Customer,9/25/2021,Opportunity for Clayton375
Utilities,Virginia,United States,Closed Won,Banks379 Inc,34282,18369,1587081600,Partner,4/17/2020,Opportunity for Mathis376
Banking,Ohio,United States,Closed Won,Barnett543 Inc,46179,19206,1659398400,Customer,8/2/2022,Opportunity for Gray19
Education,Texas,United States,Prospecting,Duncan433 Inc,4677,19069,1647561600,Customer,3/18/2022,Opportunity for Hawkins22
Transportation,Florida,United States,Negotiation/Review,Lowe496 Inc,91172,17897,1546300800,Partner,1/1/2019,Opportunity for McCormick23
Consulting,Texas,United States,Closed Won,Vega718 Inc,31355,18037,1558396800,Customer,5/21/2019,Opportunity for Cox29
Engineering,California,United States,Closed Won,Tucker284 Inc,79639,18550,1602720000,Partner,10/15/2020,Opportunity for Bass32
Apparel,Arizona,United States,Perception Analysis,Watts685 Inc,66665,18722,1617580800,Partner,4/5/2021,Opportunity for Butler33
Communications,,United States,Closed Won,Wade723 Inc,40264,19341,1671062400,Partner,12/15/2022,Opportunity for Alvarez35
Biotechnology,California,United States,Closed Lost,Smith558 Inc,6556,18323,1583107200,Partner,3/2/2020,Opportunity for Nunez37
